dataset,model,seed,event_id,available_future_steps,horizon_steps,horizon_seconds,mae_acc,rmse_acc,mae_spacing,rmse_spacing,mae_speed,collision,collision_step,unsafe_event,unsafe_frames,unsafe_frame_rate,unsafe_thw_threshold_seconds,thw_moving_frames,minimum_predicted_thw,negative_speed_attempts,negative_speed_attempt_rate,overspeed_attempts,overspeed_attempt_rate,numerical_failure,minimum_predicted_spacing,evaluation_gpu_local,evaluation_gpu_physical
NGSIM,FVD,101,0,590,590,59.0,0.6269228458404541,0.8206167817115784,4.4083027839660645,5.237626552581787,0.8189271092414856,0,-1,0,0,0.0,2.0,590,2.6535253524780273,0,0.0,0,0.0,0,9.569232940673828,0,5
NGSIM,FVD,101,1,415,415,41.5,0.35050466656684875,0.48902028799057007,7.494331359863281,7.891639709472656,0.4784916937351227,0,-1,1,73,0.17590361445783131,2.0,415,1.2590210437774658,0,0.0,0,0.0,0,2.7416670322418213,0,5
NGSIM,FVD,101,2,458,458,45.800000000000004,0.506056010723114,0.6962395906448364,8.610535621643066,9.22286605834961,0.5771840810775757,0,-1,1,422,0.9213973799126638,2.0,458,0.48703938722610474,0,0.0,0,0.0,0,2.7557315826416016,2,7
NGSIM,FVD,101,3,507,507,50.7,0.5247398614883423,0.7157694101333618,11.574728012084961,12.196778297424316,0.6588885188102722,0,-1,0,0,0.0,2.0,507,2.6843795776367188,0,0.0,0,0.0,0,15.913909912109375,2,7
NGSIM,FVD,101,4,136,136,13.600000000000001,0.8213711977005005,1.0297985076904297,2.164231777191162,3.0073461532592773,0.724932849407196,0,-1,0,0,0.0,2.0,136,2.3622031211853027,0,0.0,0,0.0,0,54.093875885009766,1,6
NGSIM,FVD,101,5,436,436,43.6,0.7497926950454712,0.9172474145889282,2.4113657474517822,3.050523519515991,0.679908037185669,0,-1,1,58,0.13302752293577982,2.0,436,1.4760148525238037,0,0.0,0,0.0,0,4.355083465576172,2,7
NGSIM,FVD,101,6,443,443,44.300000000000004,0.4474286735057831,0.6403828859329224,10.740903854370117,11.2571382522583,4.455520153045654,1,87,1,87,0.1963882618510158,2.0,87,0.0,0,0.0,0,0.0,0,0.0,1,6
NGSIM,FVD,101,7,392,392,39.2,0.37432023882865906,0.4923850893974304,6.190329551696777,6.748783111572266,0.48375368118286133,0,-1,1,171,0.4362244897959184,2.0,392,1.022315502166748,0,0.0,0,0.0,0,3.2719154357910156,0,5
NGSIM,FVD,101,8,516,516,51.6,0.4985945224761963,0.6577829122543335,2.752242088317871,3.6051313877105713,0.5677171945571899,0,-1,0,0,0.0,2.0,516,2.652894973754883,0,0.0,0,0.0,0,9.279101371765137,2,7
NGSIM,FVD,101,9,481,481,48.1,0.4420456886291504,0.6077163219451904,10.783941268920898,11.659384727478027,0.5756407380104065,0,-1,0,0,0.0,2.0,481,2.6184065341949463,0,0.0,0,0.0,0,15.426753044128418,2,7
