dataset,model,seed,event_id,available_future_steps,horizon_steps,horizon_seconds,mae_acc,rmse_acc,mae_spacing,rmse_spacing,mae_speed,collision,collision_step,unsafe_event,unsafe_frames,unsafe_frame_rate,unsafe_thw_threshold_seconds,thw_moving_frames,minimum_predicted_thw,negative_speed_attempts,negative_speed_attempt_rate,overspeed_attempts,overspeed_attempt_rate,numerical_failure,minimum_predicted_spacing,evaluation_gpu_local,evaluation_gpu_physical
NGSIM,Fritzsche,101,0,590,590,59.0,0.6823035478591919,0.8740959763526917,7.899549961090088,8.93454647064209,0.7578803896903992,0,-1,1,431,0.7305084745762712,2.0,590,0.5178614854812622,0,0.0,0,0.0,0,3.360447406768799,0,5
NGSIM,Fritzsche,101,1,415,415,41.5,0.49671369791030884,0.647219717502594,10.696793556213379,11.955865859985352,1.0860512256622314,0,-1,1,214,0.5156626506024097,2.0,415,0.8660963773727417,0,0.0,0,0.0,0,5.525038719177246,0,5
NGSIM,Fritzsche,101,2,458,458,45.800000000000004,0.5877118110656738,0.7521279454231262,11.253470420837402,12.06360912322998,0.5498342514038086,0,-1,1,458,1.0,2.0,458,0.6765902638435364,0,0.0,0,0.0,0,5.545998573303223,2,7
NGSIM,Fritzsche,101,3,507,507,50.7,0.6473129391670227,0.8408522605895996,2.884291172027588,3.325547695159912,0.5526846051216125,0,-1,1,410,0.8086785009861933,2.0,507,0.8388580679893494,0,0.0,0,0.0,0,5.368906021118164,2,7
NGSIM,Fritzsche,101,4,136,136,13.600000000000001,1.2175296545028687,1.4736050367355347,37.6446647644043,49.34661102294922,7.292428970336914,0,-1,0,0,0.0,2.0,136,4.675896167755127,0,0.0,0,0.0,0,96.26028442382812,1,6
NGSIM,Fritzsche,101,5,436,436,43.6,0.8113498687744141,1.026383638381958,7.620129585266113,8.567581176757812,1.0443116426467896,0,-1,1,304,0.6972477064220184,2.0,436,0.663810133934021,0,0.0,0,0.0,0,5.226191520690918,2,7
NGSIM,Fritzsche,101,6,443,443,44.300000000000004,0.5701869130134583,0.7524867057800293,9.64426326751709,10.129490852355957,3.8399245738983154,1,212,1,133,0.3002257336343115,2.0,212,0.0,0,0.0,0,0.0,0,0.0,1,6
NGSIM,Fritzsche,101,7,392,392,39.2,0.3134555220603943,0.5123070478439331,15.622856140136719,18.120420455932617,3.5296366214752197,1,214,1,214,0.5459183673469388,2.0,214,0.0,0,0.0,0,0.0,0,0.0,0,5
NGSIM,Fritzsche,101,8,516,516,51.6,0.6213531494140625,0.8313783407211304,11.274415016174316,12.352238655090332,0.7254151105880737,0,-1,1,374,0.7248062015503876,2.0,516,0.8742258548736572,0,0.0,0,0.0,0,5.8381428718566895,2,7
NGSIM,Fritzsche,101,9,481,481,48.1,0.5110952854156494,0.6669166684150696,2.73673677444458,3.0843465328216553,0.5116754174232483,0,-1,1,382,0.7941787941787942,2.0,481,0.9661420583724976,0,0.0,0,0.0,0,9.03947925567627,2,7
NGSIM,Fritzsche,101,10,399,399,39.900000000000006,0.6873392462730408,0.8899989128112793,14.531970024108887,18.25240707397461,1.0929523706436157,0,-1,1,204,0.5112781954887218,2.0,399,0.38640859723091125,0,0.0,0,0.0,0,3.258906841278076,0,5
NGSIM,Fritzsche,101,11,567,567,56.7,0.7491128444671631,1.033271312713623,20.60416030883789,22.893192291259766,1.1504751443862915,0,-1,1,482,0.8500881834215167,2.0,567,0.7353107929229736,0,0.0,0,0.0,0,4.5139594078063965,2,7
