dataset,model,seed,event_id,available_future_steps,horizon_steps,horizon_seconds,mae_acc,rmse_acc,mae_spacing,rmse_spacing,mae_speed,collision,collision_step,unsafe_event,unsafe_frames,unsafe_frame_rate,unsafe_thw_threshold_seconds,thw_moving_frames,minimum_predicted_thw,negative_speed_attempts,negative_speed_attempt_rate,overspeed_attempts,overspeed_attempt_rate,numerical_failure,minimum_predicted_spacing,evaluation_gpu_local,evaluation_gpu_physical
NGSIM,GM,101,0,590,590,59.0,0.614852786064148,0.8066557049751282,7.8707098960876465,9.18930435180664,0.8338868021965027,0,-1,0,0,0.0,2.0,590,3.6263482570648193,0,0.0,0,0.0,0,10.110382080078125,0,5
NGSIM,GM,101,1,415,415,41.5,0.35624945163726807,0.49645400047302246,6.269845008850098,6.7206339836120605,0.5858131647109985,0,-1,0,0,0.0,2.0,415,2.4933102130889893,0,0.0,0,0.0,0,6.488704204559326,0,5
NGSIM,GM,101,2,458,458,45.800000000000004,0.5298901796340942,0.7104169726371765,9.851665496826172,10.186873435974121,0.47794604301452637,0,-1,1,458,1.0,2.0,458,1.1808193922042847,0,0.0,0,0.0,0,6.665874481201172,2,7
NGSIM,GM,101,3,507,507,50.7,0.5420633554458618,0.7324720025062561,25.3367919921875,27.260026931762695,0.9323354959487915,0,-1,0,0,0.0,2.0,507,5.398288726806641,0,0.0,0,0.0,0,15.914702415466309,2,7
NGSIM,GM,101,4,136,136,13.600000000000001,0.8230899572372437,1.0290114879608154,7.74078893661499,10.223621368408203,1.4601128101348877,0,-1,0,0,0.0,2.0,136,4.248812675476074,0,0.0,0,0.0,0,82.1008071899414,1,6
NGSIM,GM,101,5,436,436,43.6,0.7109494805335999,0.8852271437644958,1.8323974609375,2.3090903759002686,0.5885236263275146,0,-1,0,0,0.0,2.0,436,2.3679661750793457,0,0.0,0,0.0,0,7.083710670471191,2,7
NGSIM,GM,101,6,443,443,44.300000000000004,0.5237575769424438,0.6519920825958252,4.737290859222412,5.679598808288574,0.7545899152755737,0,-1,1,324,0.7313769751693002,2.0,443,1.698150396347046,0,0.0,0,0.0,0,2.764829158782959,1,6
NGSIM,GM,101,7,392,392,39.2,0.4212760627269745,0.5731208324432373,8.558987617492676,9.838766098022461,0.6606603860855103,0,-1,1,392,1.0,2.0,392,1.4903160333633423,0,0.0,0,0.0,0,5.043043613433838,0,5
NGSIM,GM,101,8,516,516,51.6,0.5164886116981506,0.6880435347557068,6.419631481170654,7.842570781707764,0.8072879910469055,0,-1,0,0,0.0,2.0,516,4.189813613891602,0,0.0,0,0.0,0,15.483832359313965,2,7
NGSIM,GM,101,9,481,481,48.1,0.4439440071582794,0.6116189956665039,14.86405086517334,16.74288558959961,0.7194039225578308,0,-1,0,0,0.0,2.0,481,3.4837329387664795,0,0.0,0,0.0,0,15.426753044128418,2,7
NGSIM,GM,101,10,399,399,39.900000000000006,0.5634997487068176,0.7142255306243896,7.154586315155029,9.260879516601562,0.7855116128921509,0,-1,0,0,0.0,2.0,399,3.3370742797851562,0,0.0,0,0.0,0,9.764763832092285,0,5
NGSIM,GM,101,11,567,567,56.7,0.5587221384048462,0.7741056084632874,2.7016282081604004,3.403712511062622,0.611459493637085,0,-1,0,0,0.0,2.0,567,4.568065643310547,0,0.0,0,0.0,0,7.964815616607666,2,7
NGSIM,GM,101,12,258,258,25.8,0.48884451389312744,0.6380257606506348,7.3214497566223145,9.089447975158691,0.5887706279754639,0,-1,0,0,0.0,2.0,258,2.324880599975586,0,0.0,0,0.0,0,25.7048282623291,2,7
NGSIM,GM,101,13,526,526,52.6,0.46961843967437744,0.5862149000167847,3.091303586959839,3.8849036693573,0.48554882407188416,0,-1,1,526,1.0,2.0,526,1.3183517456054688,0,0.0,0,0.0,0,4.60221004486084,0,5
NGSIM,GM,101,14,175,175,17.5,0.7250319123268127,0.8709052801132202,1.6817303895950317,1.8339351415634155,0.40578407049179077,0,-1,0,0,0.0,2.0,175,2.24613094329834,0,0.0,0,0.0,0,17.604246139526367,1,6
NGSIM,GM,101,15,257,257,25.700000000000003,0.48747897148132324,0.6249722838401794,7.112997055053711,8.610572814941406,0.628322958946228,0,-1,0,0,0.0,2.0,257,3.9444222450256348,0,0.0,0,0.0,0,13.131669998168945,2,7
NGSIM,GM,101,16,200,200,20.0,0.6048587560653687,0.8739725947380066,2.7741434574127197,3.2340242862701416,1.039570927619934,0,-1,0,0,0.0,2.0,200,7.389619827270508,0,0.0,0,0.0,0,11.582720756530762,1,6
NGSIM,GM,101,17,366,366,36.6,0.5400351285934448,0.6774473190307617,4.571261405944824,4.981954574584961,0.502414345741272,0,-1,0,0,0.0,2.0,366,2.7788755893707275,0,0.0,0,0.0,0,10.34725284576416,0,5
NGSIM,GM,101,18,526,526,52.6,0.5461687445640564,0.6850099563598633,4.872697830200195,6.028547286987305,0.7970736622810364,0,-1,0,0,0.0,2.0,526,2.75886869430542,0,0.0,0,0.0,0,10.495460510253906,2,7
NGSIM,GM,101,19,687,687,68.7,0.6630510687828064,0.8948701024055481,3.6126859188079834,4.383447647094727,0.8528253436088562,0,-1,0,0,0.0,2.0,687,2.034754753112793,0,0.0,0,0.0,0,3.018375873565674,1,6
NGSIM,GM,101,20,386,386,38.6,0.5131689310073853,0.6935253143310547,2.3939859867095947,3.4247796535491943,0.6555912494659424,0,-1,0,0,0.0,2.0,386,3.0427334308624268,0,0.0,0,0.0,0,7.115864276885986,1,6
NGSIM,GM,101,21,303,303,30.3,0.6272104978561401,0.8432439565658569,8.546097755432129,9.802765846252441,0.8167546391487122,0,-1,0,0,0.0,2.0,303,3.1616203784942627,0,0.0,0,0.0,0,26.052364349365234,0,5
NGSIM,GM,101,22,678,678,67.8,0.8426820635795593,1.1080793142318726,3.676609516143799,4.547119617462158,0.991511881351471,0,-1,1,666,0.9823008849557522,2.0,678,1.1733500957489014,0,0.0,0,0.0,0,2.1170032024383545,0,5
NGSIM,GM,101,23,223,223,22.3,0.4839938282966614,0.624237596988678,1.5016276836395264,1.926814079284668,0.5172981023788452,0,-1,1,223,1.0,2.0,223,1.2508912086486816,0,0.0,0,0.0,0,8.228485107421875,2,7
NGSIM,GM,101,24,185,185,18.5,0.4333959221839905,0.5203302502632141,8.210888862609863,9.35953426361084,0.9027454257011414,0,-1,0,0,0.0,2.0,185,3.460392475128174,0,0.0,0,0.0,0,15.309497833251953,0,5
NGSIM,GM,101,25,317,317,31.700000000000003,0.6902750134468079,0.8771994709968567,7.165143966674805,8.522320747375488,0.911669909954071,0,-1,1,317,1.0,2.0,317,1.1346969604492188,0,0.0,0,0.0,0,2.671891212463379,1,6
NGSIM,GM,101,26,176,176,17.6,0.5978943109512329,0.8149474859237671,4.59250020980835,6.094350337982178,0.6745182275772095,0,-1,1,176,1.0,2.0,176,1.2740936279296875,0,0.0,0,0.0,0,21.87774085998535,0,5
NGSIM,GM,101,27,146,146,14.600000000000001,0.7083095908164978,0.8740940093994141,11.124039649963379,13.840547561645508,1.8005715608596802,0,-1,0,0,0.0,2.0,146,2.243870258331299,0,0.0,0,0.0,0,44.01198196411133,0,5
NGSIM,GM,101,28,638,638,63.800000000000004,0.42423519492149353,0.5716924071311951,3.4575860500335693,4.10246467590332,0.5220245122909546,0,-1,0,0,0.0,2.0,638,3.379892110824585,0,0.0,0,0.0,0,13.021866798400879,1,6
NGSIM,GM,101,29,518,518,51.800000000000004,0.6642587780952454,0.8609279990196228,3.3238742351531982,3.7184929847717285,0.4857681095600128,0,-1,1,518,1.0,2.0,518,0.6866307854652405,0,0.0,0,0.0,0,1.056096076965332,1,6
NGSIM,GM,101,30,173,173,17.3,0.3587612807750702,0.44360291957855225,4.06485652923584,4.6057257652282715,0.4163720905780792,0,-1,1,173,1.0,2.0,173,1.0804593563079834,0,0.0,0,0.0,0,6.389983654022217,2,7
NGSIM,GM,101,31,401,401,40.1,0.622769296169281,0.7648192644119263,3.8704581260681152,4.760554313659668,0.5278816819190979,0,-1,1,401,1.0,2.0,401,1.1084251403808594,0,0.0,0,0.0,0,4.791940212249756,2,7
NGSIM,GM,101,32,147,147,14.700000000000001,0.6578606963157654,0.7898840308189392,1.700545072555542,2.049365282058716,0.5214807987213135,0,-1,0,0,0.0,2.0,147,4.565544128417969,0,0.0,0,0.0,0,80.60711669921875,0,5
NGSIM,GM,101,33,410,410,41.0,0.4940307140350342,0.6169599890708923,5.2263007164001465,8.318613052368164,0.6177356839179993,0,-1,0,0,0.0,2.0,410,2.8804101943969727,0,0.0,0,0.0,0,7.1456780433654785,1,6
NGSIM,GM,101,34,410,410,41.0,0.5563639998435974,0.7828208804130554,8.541275978088379,9.625251770019531,0.590847909450531,0,-1,1,410,1.0,2.0,410,1.5649778842926025,0,0.0,0,0.0,0,9.481165885925293,0,5
NGSIM,GM,101,35,315,315,31.5,0.39661648869514465,0.4725225567817688,6.512080669403076,7.041689395904541,0.700222373008728,0,-1,1,202,0.6412698412698413,2.0,315,1.8674882650375366,0,0.0,0,0.0,0,9.142902374267578,1,6
NGSIM,GM,101,36,374,374,37.4,0.5167292356491089,0.6879317760467529,4.333176136016846,5.133254528045654,0.46240729093551636,0,-1,0,0,0.0,2.0,374,3.5589306354522705,0,0.0,0,0.0,0,10.970955848693848,2,7
NGSIM,GM,101,37,310,310,31.0,0.6396254897117615,0.816756546497345,3.694913625717163,4.258984565734863,0.7191998958587646,0,-1,1,246,0.7935483870967742,2.0,310,1.7949600219726562,0,0.0,0,0.0,0,12.029205322265625,2,7
NGSIM,GM,101,38,302,302,30.200000000000003,0.7108274698257446,0.8912935853004456,2.5404484272003174,3.1396658420562744,0.6864936947822571,0,-1,1,302,1.0,2.0,302,1.6291546821594238,0,0.0,0,0.0,0,6.390613079071045,1,6
NGSIM,GM,101,39,259,259,25.900000000000002,0.5459677577018738,0.6600741744041443,4.680724620819092,5.587587356567383,0.5985965132713318,0,-1,0,0,0.0,2.0,259,2.2247068881988525,0,0.0,0,0.0,0,9.137054443359375,1,6
NGSIM,GM,101,40,391,391,39.1,0.6193504333496094,0.8310733437538147,3.7707982063293457,4.506633758544922,0.6581044793128967,0,-1,1,391,1.0,2.0,391,1.72910475730896,0,0.0,0,0.0,0,5.902904033660889,1,6
NGSIM,GM,101,41,291,291,29.1,0.5064749121665955,0.6418077945709229,17.38180160522461,21.391807556152344,1.2899755239486694,0,-1,0,0,0.0,2.0,291,3.890650510787964,0,0.0,0,0.0,0,5.486814975738525,2,7
NGSIM,GM,101,42,462,462,46.2,0.5593404769897461,0.7195519804954529,3.738960027694702,4.53712272644043,0.4807102680206299,0,-1,1,462,1.0,2.0,462,1.4703751802444458,0,0.0,0,0.0,0,3.8511006832122803,0,5
NGSIM,GM,101,43,398,398,39.800000000000004,0.4971538484096527,0.6449410915374756,2.424452066421509,3.0822227001190186,0.5281720161437988,0,-1,1,398,1.0,2.0,398,1.4393680095672607,0,0.0,0,0.0,0,10.615351676940918,1,6
NGSIM,GM,101,44,661,661,66.10000000000001,0.560499906539917,0.743901252746582,6.486955165863037,7.026534080505371,0.7372640371322632,0,-1,1,454,0.686838124054463,2.0,661,1.484358549118042,0,0.0,0,0.0,0,2.7961208820343018,2,7
NGSIM,GM,101,45,149,149,14.9,0.8175001740455627,0.9614918828010559,2.296682357788086,3.2795259952545166,0.6336072087287903,0,-1,1,149,1.0,2.0,149,1.0233720541000366,0,0.0,0,0.0,0,21.518310546875,1,6
NGSIM,GM,101,46,562,562,56.2,0.5970075726509094,0.7476986646652222,3.5204293727874756,4.052638053894043,0.5557308197021484,0,-1,1,419,0.7455516014234875,2.0,562,1.619253158569336,0,0.0,0,0.0,0,3.5668046474456787,1,6
NGSIM,GM,101,47,229,229,22.900000000000002,0.5606238842010498,0.7588304877281189,12.183168411254883,14.15109920501709,0.9644628763198853,0,-1,1,229,1.0,2.0,229,0.9297444224357605,0,0.0,0,0.0,0,5.305028915405273,1,6
NGSIM,GM,101,48,257,257,25.700000000000003,0.513002336025238,0.6902493834495544,1.4929344654083252,1.8461967706680298,0.44188863039016724,0,-1,0,0,0.0,2.0,257,2.800957202911377,0,0.0,0,0.0,0,19.504436492919922,0,5
NGSIM,GM,101,49,176,176,17.6,0.7289196252822876,0.9474058747291565,4.866839408874512,5.385312557220459,0.5334577560424805,0,-1,1,176,1.0,2.0,176,1.0254201889038086,0,0.0,0,0.0,0,18.915260314941406,1,6
NGSIM,GM,101,50,195,195,19.5,0.4558804929256439,0.627571702003479,2.3903133869171143,2.667081117630005,0.5175625681877136,0,-1,1,195,1.0,2.0,195,1.6691431999206543,0,0.0,0,0.0,0,5.988513946533203,2,7
NGSIM,GM,101,51,361,361,36.1,0.3424507677555084,0.44817158579826355,1.0001620054244995,1.4086307287216187,0.42106887698173523,0,-1,0,0,0.0,2.0,361,4.060610771179199,0,0.0,0,0.0,0,30.240413665771484,0,5
NGSIM,GM,101,52,218,218,21.8,0.7093787789344788,0.9290264248847961,2.5615603923797607,3.072014093399048,0.7109209299087524,0,-1,0,0,0.0,2.0,218,3.0769894123077393,0,0.0,0,0.0,0,17.981075286865234,1,6
NGSIM,GM,101,53,415,415,41.5,0.6951040029525757,0.8901619911193848,6.452823162078857,7.674394130706787,0.9935495853424072,0,-1,0,0,0.0,2.0,415,2.4471092224121094,0,0.0,0,0.0,0,11.304169654846191,2,7
NGSIM,GM,101,54,203,203,20.3,0.5186155438423157,0.6293073892593384,5.8082051277160645,6.551809787750244,0.6150579452514648,0,-1,0,0,0.0,2.0,203,2.592953681945801,0,0.0,0,0.0,0,22.598249435424805,1,6
NGSIM,GM,101,55,457,457,45.7,0.531505286693573,0.6441449522972107,4.497138500213623,5.448146343231201,0.7408262491226196,0,-1,1,114,0.24945295404814005,2.0,457,1.9427576065063477,0,0.0,0,0.0,0,11.082871437072754,0,5
NGSIM,GM,101,56,226,226,22.6,0.3990137577056885,0.5325151681900024,2.0198497772216797,2.5785138607025146,0.5560989379882812,0,-1,0,0,0.0,2.0,226,3.3526008129119873,0,0.0,0,0.0,0,21.341379165649414,2,7
NGSIM,GM,101,57,515,515,51.5,0.4040223956108093,0.5150852799415588,2.4501821994781494,2.9986512660980225,0.5322277545928955,0,-1,0,0,0.0,2.0,515,3.0721256732940674,0,0.0,0,0.0,0,4.397308349609375,0,5
NGSIM,GM,101,58,301,301,30.1,0.6733203530311584,0.8613648414611816,6.896035194396973,7.577238082885742,0.7205386161804199,0,-1,0,0,0.0,2.0,301,2.1909420490264893,0,0.0,0,0.0,0,9.788972854614258,2,7
NGSIM,GM,101,59,207,207,20.700000000000003,0.640434205532074,0.7812809944152832,3.4565882682800293,4.330495834350586,0.749822199344635,0,-1,1,69,0.3333333333333333,2.0,207,1.7012813091278076,0,0.0,0,0.0,0,9.952425003051758,2,7
NGSIM,GM,101,60,217,217,21.700000000000003,0.5986223220825195,0.7038921117782593,6.948523998260498,8.253375053405762,0.7212310433387756,0,-1,1,217,1.0,2.0,217,1.4099992513656616,0,0.0,0,0.0,0,19.58513069152832,2,7
