dataset,model,seed,event_id,available_future_steps,horizon_steps,horizon_seconds,mae_acc,rmse_acc,mae_spacing,rmse_spacing,mae_speed,collision,collision_step,unsafe_event,unsafe_frames,unsafe_frame_rate,unsafe_thw_threshold_seconds,thw_moving_frames,minimum_predicted_thw,negative_speed_attempts,negative_speed_attempt_rate,overspeed_attempts,overspeed_attempt_rate,numerical_failure,minimum_predicted_spacing,evaluation_gpu_local,evaluation_gpu_physical
NGSIM,Mamba,73,0,590,590,59.0,0.5988912582397461,0.7820616364479065,3.8667898178100586,4.672841548919678,0.7201448678970337,0,-1,0,0,0.0,2.0,590,2.647735357284546,0,0.0,0,0.0,0,10.992250442504883,0,5
NGSIM,Mamba,73,1,415,415,41.5,0.4182316064834595,0.5602574348449707,5.667530059814453,6.596696853637695,0.7334657311439514,0,-1,0,0,0.0,2.0,415,2.406470775604248,0,0.0,0,0.0,0,9.898685455322266,0,5
NGSIM,Mamba,73,2,458,458,45.800000000000004,0.44933754205703735,0.6014319062232971,3.39150071144104,3.523392915725708,0.33829444646835327,0,-1,1,106,0.2314410480349345,2.0,458,1.5532252788543701,0,0.0,0,0.0,0,11.685751914978027,2,7
NGSIM,Mamba,73,3,507,507,50.7,0.49624180793762207,0.681125819683075,10.495903968811035,11.068379402160645,0.5880499482154846,0,-1,0,0,0.0,2.0,507,2.75777530670166,0,0.0,0,0.0,0,15.914873123168945,2,7
NGSIM,Mamba,73,4,136,136,13.600000000000001,0.8449518084526062,1.051224708557129,2.5711569786071777,3.5078186988830566,0.6104317307472229,0,-1,0,0,0.0,2.0,136,3.3580565452575684,0,0.0,0,0.0,0,68.86981964111328,1,6
NGSIM,Mamba,73,5,436,436,43.6,0.6473343372344971,0.818446934223175,2.8630268573760986,3.4113552570343018,0.5657872557640076,0,-1,0,0,0.0,2.0,436,2.407536745071411,0,0.0,0,0.0,0,10.407386779785156,2,7
NGSIM,Mamba,73,6,443,443,44.300000000000004,0.5264097452163696,0.6690213680267334,5.11012077331543,6.132479190826416,0.7119113206863403,0,-1,1,39,0.08803611738148984,2.0,443,1.8499763011932373,0,0.0,0,0.0,0,6.771574974060059,1,6
NGSIM,Mamba,73,7,392,392,39.2,0.4225754737854004,0.57059246301651,5.053733825683594,6.0415263175964355,0.6247919201850891,0,-1,1,80,0.20408163265306123,2.0,392,1.4821372032165527,0,0.0,0,0.0,0,6.59993314743042,0,5
NGSIM,Mamba,73,8,516,516,51.6,0.4537872076034546,0.6047794222831726,2.032989025115967,2.393819808959961,0.41025400161743164,0,-1,0,0,0.0,2.0,516,2.5733933448791504,0,0.0,0,0.0,0,12.78572940826416,2,7
NGSIM,Mamba,73,9,481,481,48.1,0.4404197633266449,0.6139315366744995,7.865637302398682,9.057753562927246,0.47842520475387573,0,-1,0,0,0.0,2.0,481,2.4290637969970703,0,0.0,0,0.0,0,14.711908340454102,2,7
