dataset,model,seed,event_id,available_future_steps,horizon_steps,horizon_seconds,mae_acc,rmse_acc,mae_spacing,rmse_spacing,mae_speed,collision,collision_step,unsafe_event,unsafe_frames,unsafe_frame_rate,unsafe_thw_threshold_seconds,thw_moving_frames,minimum_predicted_thw,negative_speed_attempts,negative_speed_attempt_rate,overspeed_attempts,overspeed_attempt_rate,numerical_failure,minimum_predicted_spacing,evaluation_gpu_local,evaluation_gpu_physical
NGSIM,Mod_NETSIM,42,0,590,590,59.0,0.6409253478050232,0.8334597945213318,73.31367492675781,102.12500762939453,3.9827980995178223,0,-1,0,0,0.0,2.0,590,2.6122610569000244,0,0.0,0,0.0,0,6.456775665283203,0,5
NGSIM,Mod_NETSIM,42,1,415,415,41.5,0.5128984451293945,0.6920824646949768,14.371068000793457,17.60330581665039,2.586817502975464,1,251,1,73,0.17590361445783131,2.0,251,0.0,0,0.0,0,0.0,0,0.0,0,5
NGSIM,Mod_NETSIM,42,2,458,458,45.800000000000004,0.5562103986740112,0.764998197555542,27.86318588256836,36.995243072509766,2.4941012859344482,0,-1,1,169,0.36899563318777295,2.0,458,0.3188604712486267,0,0.0,0,0.0,0,1.7223151922225952,2,7
NGSIM,Mod_NETSIM,42,3,507,507,50.7,0.6053538918495178,0.7985576391220093,128.07229614257812,154.99684143066406,5.468081474304199,0,-1,0,0,0.0,2.0,507,7.4660515785217285,0,0.0,0,0.0,0,15.917730331420898,2,7
NGSIM,Mod_NETSIM,42,4,136,136,13.600000000000001,0.8087687492370605,1.017033338546753,2.8746635913848877,3.810140371322632,0.59138423204422,0,-1,0,0,0.0,2.0,136,3.2804830074310303,0,0.0,0,0.0,0,68.64093017578125,1,6
NGSIM,Mod_NETSIM,42,5,436,436,43.6,0.7756017446517944,0.9981544017791748,10.799571990966797,14.234362602233887,3.921640396118164,1,228,1,36,0.08256880733944955,2.0,228,0.0,0,0.0,0,0.0,0,0.0,2,7
NGSIM,Mod_NETSIM,42,6,443,443,44.300000000000004,0.4467601776123047,0.6509564518928528,11.035709381103516,11.564542770385742,4.512618541717529,1,65,1,65,0.14672686230248308,2.0,65,0.0,0,0.0,0,0.0,0,0.0,1,6
NGSIM,Mod_NETSIM,42,7,392,392,39.2,0.31786784529685974,0.5136455297470093,20.407461166381836,30.42119026184082,2.191006660461426,0,-1,1,117,0.29846938775510207,2.0,392,1.498348593711853,0,0.0,0,0.0,0,5.783653736114502,0,5
NGSIM,Mod_NETSIM,42,8,516,516,51.6,0.5832948684692383,0.8954269886016846,80.87178039550781,95.59194946289062,3.5050742626190186,0,-1,0,0,0.0,2.0,516,3.991925001144409,0,0.0,0,0.0,0,15.01968765258789,2,7
NGSIM,Mod_NETSIM,42,9,481,481,48.1,0.47995543479919434,0.7125263810157776,68.91590118408203,86.45204162597656,3.59291672706604,0,-1,0,0,0.0,2.0,481,3.650883436203003,0,0.0,0,0.0,0,15.426753044128418,2,7
NGSIM,Mod_NETSIM,42,10,399,399,39.900000000000006,0.5203875303268433,0.7118948698043823,8.604584693908691,12.304762840270996,1.7879352569580078,0,-1,0,0,0.0,2.0,399,2.3037526607513428,0,0.0,0,0.0,0,5.772769927978516,0,5
NGSIM,Mod_NETSIM,42,11,567,567,56.7,0.6024060249328613,0.8528194427490234,129.00103759765625,166.90115356445312,5.592234134674072,0,-1,0,0,0.0,2.0,567,14.53073501586914,0,0.0,0,0.0,0,7.7619404792785645,2,7
NGSIM,Mod_NETSIM,42,12,258,258,25.8,0.4370795488357544,0.6209325194358826,19.28548240661621,25.81749153137207,2.2307138442993164,0,-1,0,0,0.0,2.0,258,2.3035051822662354,0,0.0,0,0.0,0,25.652851104736328,2,7
NGSIM,Mod_NETSIM,42,13,526,526,52.6,0.5536154508590698,0.7137382626533508,42.02530288696289,59.94681930541992,2.4924569129943848,0,-1,1,178,0.33840304182509506,2.0,526,1.4198105335235596,0,0.0,0,0.0,0,6.579916477203369,0,5
NGSIM,Mod_NETSIM,42,14,175,175,17.5,0.6753689646720886,0.8510628938674927,0.5303329825401306,0.7030788064002991,0.3786826729774475,0,-1,1,73,0.41714285714285715,2.0,175,1.757243275642395,0,0.0,0,0.0,0,14.272165298461914,1,6
NGSIM,Mod_NETSIM,42,15,257,257,25.700000000000003,0.5880993604660034,0.7707732319831848,58.134613037109375,75.75211334228516,5.770781993865967,0,-1,0,0,0.0,2.0,257,4.642482280731201,0,0.0,0,0.0,0,13.132853507995605,2,7
NGSIM,Mod_NETSIM,42,16,200,200,20.0,0.6535180807113647,0.9585718512535095,3.832587957382202,4.86580228805542,1.4111721515655518,0,-1,0,0,0.0,2.0,200,6.662255764007568,0,0.0,0,0.0,0,12.128114700317383,1,6
NGSIM,Mod_NETSIM,42,17,366,366,36.6,0.5623806715011597,0.6953885555267334,32.23670196533203,43.108036041259766,2.5360348224639893,0,-1,0,0,0.0,2.0,366,2.482017993927002,0,0.0,0,0.0,0,9.118391990661621,0,5
