dataset,model,seed,event_id,available_future_steps,horizon_steps,horizon_seconds,mae_acc,rmse_acc,mae_spacing,rmse_spacing,mae_speed,collision,collision_step,unsafe_event,unsafe_frames,unsafe_frame_rate,unsafe_thw_threshold_seconds,thw_moving_frames,minimum_predicted_thw,negative_speed_attempts,negative_speed_attempt_rate,overspeed_attempts,overspeed_attempt_rate,numerical_failure,minimum_predicted_spacing,evaluation_gpu_local,evaluation_gpu_physical
NGSIM,NETSIM,101,0,590,590,59.0,0.647138237953186,0.84442138671875,75.22362518310547,104.4857406616211,4.03922176361084,0,-1,0,0,0.0,2.0,590,3.088764190673828,0,0.0,0,0.0,0,7.481712341308594,0,5
NGSIM,NETSIM,101,1,415,415,41.5,0.49992719292640686,0.6868507266044617,15.207474708557129,18.16203498840332,2.5874202251434326,1,254,1,135,0.3253012048192771,2.0,254,0.0,0,0.0,0,0.0,0,0.0,0,5
NGSIM,NETSIM,101,2,458,458,45.800000000000004,0.5689101815223694,0.7622330188751221,24.231765747070312,33.14665985107422,2.0382659435272217,0,-1,1,156,0.3406113537117904,2.0,458,1.2140206098556519,0,0.0,0,0.0,0,7.766427516937256,2,7
NGSIM,NETSIM,101,3,507,507,50.7,0.6053538918495178,0.7985576391220093,128.07229614257812,154.99684143066406,5.468081474304199,0,-1,0,0,0.0,2.0,507,7.4660515785217285,0,0.0,0,0.0,0,15.917730331420898,2,7
NGSIM,NETSIM,101,4,136,136,13.600000000000001,0.812329888343811,1.0243945121765137,2.8697097301483154,3.801950693130493,0.594979465007782,0,-1,0,0,0.0,2.0,136,3.269181251525879,0,0.0,0,0.0,0,68.56290435791016,1,6
NGSIM,NETSIM,101,5,436,436,43.6,0.7808118462562561,0.9944444298744202,19.96516990661621,33.50876998901367,3.0373058319091797,0,-1,1,73,0.16743119266055045,2.0,436,0.33714941143989563,0,0.0,0,0.0,0,0.8605393767356873,2,7
NGSIM,NETSIM,101,6,443,443,44.300000000000004,0.4342774748802185,0.6434136629104614,10.911813735961914,11.430183410644531,4.498099327087402,1,80,1,80,0.18058690744920994,2.0,80,0.0,0,0.0,0,0.0,0,0.0,1,6
NGSIM,NETSIM,101,7,392,392,39.2,0.32106900215148926,0.5180952548980713,21.621896743774414,32.40031433105469,2.227372884750366,0,-1,1,70,0.17857142857142858,2.0,392,1.5007787942886353,0,0.0,0,0.0,0,6.853142261505127,0,5
NGSIM,NETSIM,101,8,516,516,51.6,0.58330899477005,0.8954270482063293,80.90691375732422,95.63317108154297,3.5060882568359375,0,-1,0,0,0.0,2.0,516,3.993928909301758,0,0.0,0,0.0,0,15.021308898925781,2,7
NGSIM,NETSIM,101,9,481,481,48.1,0.47995543479919434,0.7125263810157776,68.91590118408203,86.45204162597656,3.59291672706604,0,-1,0,0,0.0,2.0,481,3.650883436203003,0,0.0,0,0.0,0,15.426753044128418,2,7
NGSIM,NETSIM,101,10,399,399,39.900000000000006,0.5378991961479187,0.7388697862625122,8.882307052612305,13.2301607131958,1.8092082738876343,0,-1,0,0,0.0,2.0,399,2.74410080909729,0,0.0,0,0.0,0,7.104814052581787,0,5
NGSIM,NETSIM,101,11,567,567,56.7,0.6024342179298401,0.8528205752372742,129.15194702148438,167.08184814453125,5.59705924987793,0,-1,0,0,0.0,2.0,567,14.634293556213379,0,0.0,0,0.0,0,7.765437126159668,2,7
NGSIM,NETSIM,101,12,258,258,25.8,0.43707960844039917,0.6209325194358826,19.285465240478516,25.817472457885742,2.2307121753692627,0,-1,0,0,0.0,2.0,258,2.303504705429077,0,0.0,0,0.0,0,25.652851104736328,2,7
NGSIM,NETSIM,101,13,526,526,52.6,0.5466495156288147,0.7095929384231567,45.923095703125,65.37123107910156,2.6296541690826416,0,-1,1,143,0.2718631178707224,2.0,526,1.346430778503418,0,0.0,0,0.0,0,7.686308860778809,0,5
NGSIM,NETSIM,101,14,175,175,17.5,0.6779287457466125,0.835304856300354,0.6741105318069458,0.8502207398414612,0.3730873763561249,0,-1,0,0,0.0,2.0,175,2.062944173812866,0,0.0,0,0.0,0,16.423215866088867,1,6
NGSIM,NETSIM,101,15,257,257,25.700000000000003,0.5880993604660034,0.7707732319831848,58.13462829589844,75.75212097167969,5.770783424377441,0,-1,0,0,0.0,2.0,257,4.642482280731201,0,0.0,0,0.0,0,13.132853507995605,2,7
NGSIM,NETSIM,101,16,200,200,20.0,0.653510332107544,0.958571195602417,3.8325107097625732,4.865816593170166,1.4109951257705688,0,-1,0,0,0.0,2.0,200,6.666169166564941,0,0.0,0,0.0,0,12.12973403930664,1,6
NGSIM,NETSIM,101,17,366,366,36.6,0.5675050616264343,0.7032372355461121,33.25521469116211,44.137596130371094,2.5716819763183594,0,-1,0,0,0.0,2.0,366,2.685128927230835,0,0.0,0,0.0,0,9.778548240661621,0,5
NGSIM,NETSIM,101,18,526,526,52.6,0.6426831483840942,0.9189710021018982,76.27229309082031,91.17222595214844,3.444274425506592,0,-1,0,0,0.0,2.0,526,2.776432514190674,0,0.0,0,0.0,0,10.800263404846191,2,7
NGSIM,NETSIM,101,19,687,687,68.7,0.8116565346717834,1.092087984085083,117.88601684570312,158.4983367919922,4.98319673538208,0,-1,0,0,0.0,2.0,687,2.0534050464630127,0,0.0,0,0.0,0,2.2136435508728027,1,6
