dataset,model,seed,event_id,available_future_steps,horizon_steps,horizon_seconds,mae_acc,rmse_acc,mae_spacing,rmse_spacing,mae_speed,collision,collision_step,unsafe_event,unsafe_frames,unsafe_frame_rate,unsafe_thw_threshold_seconds,thw_moving_frames,minimum_predicted_thw,negative_speed_attempts,negative_speed_attempt_rate,overspeed_attempts,overspeed_attempt_rate,numerical_failure,minimum_predicted_spacing,evaluation_gpu_local,evaluation_gpu_physical
NGSIM,Wiedemann,137,0,590,590,59.0,0.642733097076416,0.8422024846076965,3.9323337078094482,4.629068374633789,0.747805118560791,0,-1,0,0,0.0,2.0,590,2.6263978481292725,0,0.0,0,0.0,0,13.425437927246094,0,5
NGSIM,Wiedemann,137,1,415,415,41.5,0.378807008266449,0.5174476504325867,3.2778031826019287,3.8512394428253174,0.5814722776412964,0,-1,0,0,0.0,2.0,415,2.878537654876709,0,0.0,0,0.0,0,9.63815975189209,0,5
NGSIM,Wiedemann,137,2,458,458,45.800000000000004,0.505828857421875,0.6806449890136719,8.923029899597168,9.240249633789062,0.48445165157318115,0,-1,1,458,1.0,2.0,458,1.0175570249557495,0,0.0,0,0.0,0,5.886223316192627,2,7
NGSIM,Wiedemann,137,3,507,507,50.7,0.5290135145187378,0.7164177894592285,11.680370330810547,12.206759452819824,0.5819663405418396,0,-1,0,0,0.0,2.0,507,2.9931955337524414,0,0.0,0,0.0,0,15.914456367492676,2,7
NGSIM,Wiedemann,137,4,136,136,13.600000000000001,0.8518776297569275,1.017074465751648,13.574256896972656,16.9425048828125,2.244852304458618,0,-1,0,0,0.0,2.0,136,4.68691873550415,0,0.0,0,0.0,0,92.63446044921875,1,6
NGSIM,Wiedemann,137,5,436,436,43.6,0.7496369481086731,0.9170559644699097,2.3886537551879883,2.918010711669922,0.6817641854286194,0,-1,0,0,0.0,2.0,436,2.345247745513916,0,0.0,0,0.0,0,6.538773536682129,2,7
NGSIM,Wiedemann,137,6,443,443,44.300000000000004,0.6077284216880798,0.832604706287384,5.939761161804199,7.143423557281494,0.9321073889732361,0,-1,1,84,0.18961625282167044,2.0,412,1.4150017499923706,31,0.06997742663656885,0,0.0,0,3.3052823543548584,1,6
NGSIM,Wiedemann,137,7,392,392,39.2,0.39263206720352173,0.5051992535591125,4.692033290863037,5.232314586639404,0.4489169120788574,0,-1,1,91,0.23214285714285715,2.0,392,1.4597735404968262,0,0.0,0,0.0,0,5.390131950378418,0,5
NGSIM,Wiedemann,137,8,516,516,51.6,0.534020185470581,0.6942722797393799,6.9880475997924805,7.623690128326416,0.5650558471679688,0,-1,0,0,0.0,2.0,516,3.8607873916625977,0,0.0,0,0.0,0,15.56365966796875,2,7
NGSIM,Wiedemann,137,9,481,481,48.1,0.461475670337677,0.6397508978843689,9.274456977844238,9.817630767822266,0.5271403789520264,0,-1,0,0,0.0,2.0,481,2.4206230640411377,0,0.0,0,0.0,0,15.426753044128418,2,7
NGSIM,Wiedemann,137,10,399,399,39.900000000000006,0.5911849737167358,0.7410210371017456,5.021129608154297,5.93062686920166,0.7997350096702576,0,-1,0,0,0.0,2.0,399,3.478433132171631,0,0.0,0,0.0,0,17.373937606811523,0,5
NGSIM,Wiedemann,137,11,567,567,56.7,0.6116666197776794,0.8314167857170105,7.4432053565979,9.177849769592285,0.8346917033195496,0,-1,0,0,0.0,2.0,567,3.102755069732666,0,0.0,0,0.0,0,7.9639434814453125,2,7
NGSIM,Wiedemann,137,12,258,258,25.8,0.5285756587982178,0.6799007654190063,3.171851396560669,3.9753708839416504,0.4942017197608948,0,-1,0,0,0.0,2.0,258,2.095270872116089,0,0.0,0,0.0,0,25.71139907836914,2,7
NGSIM,Wiedemann,137,13,526,526,52.6,0.50217604637146,0.6373241543769836,9.532157897949219,11.435859680175781,0.8590677976608276,0,-1,1,161,0.3060836501901141,2.0,526,0.9843950867652893,0,0.0,0,0.0,0,4.033566474914551,0,5
NGSIM,Wiedemann,137,14,175,175,17.5,0.7534753680229187,0.9147264361381531,3.5548319816589355,4.125032424926758,0.529570460319519,0,-1,0,0,0.0,2.0,175,2.584583282470703,0,0.0,0,0.0,0,21.136255264282227,1,6
NGSIM,Wiedemann,137,15,257,257,25.700000000000003,0.5259498953819275,0.6599295735359192,2.292797327041626,2.601224660873413,0.47863972187042236,0,-1,0,0,0.0,2.0,257,3.3230156898498535,0,0.0,0,0.0,0,13.131669998168945,2,7
NGSIM,Wiedemann,137,16,200,200,20.0,0.6054041385650635,0.8643174171447754,2.440366506576538,2.9028844833374023,1.0310256481170654,0,-1,0,0,0.0,2.0,200,6.112687110900879,0,0.0,0,0.0,0,10.76633358001709,1,6
NGSIM,Wiedemann,137,17,366,366,36.6,0.5763592720031738,0.7200654745101929,4.76926851272583,5.074955463409424,0.5651586651802063,0,-1,0,0,0.0,2.0,366,2.6610398292541504,0,0.0,0,0.0,0,11.724711418151855,0,5
NGSIM,Wiedemann,137,18,526,526,52.6,0.5458508133888245,0.6829279661178589,7.421060085296631,8.487469673156738,0.7172770500183105,0,-1,0,0,0.0,2.0,526,2.7820563316345215,0,0.0,0,0.0,0,10.77980899810791,2,7
NGSIM,Wiedemann,137,19,687,687,68.7,0.735930323600769,0.9589820504188538,4.893198490142822,5.790099143981934,0.9342169165611267,0,-1,1,43,0.06259097525473072,2.0,650,1.8756167888641357,37,0.053857350800582245,0,0.0,0,3.994814157485962,1,6
